Id2,Geography,Total_Male,Male_LHS,Male_HS,Male_College,Male_Bachelors,Male_Graduate,Total_Female,Female_LHS,Female_HS,Female_College,Female_Bachelors,Female_Graduate
36005008600,"Census Tract 86, Bronx County, New York",27690,9542,-,29538,70489,-,17988,12260,20929,-,-,-
36005008700,"Census Tract 87, Bronx County, New York",32137,24659,32303,36661,37250,-,25813,17548,22411,31469,32969,-
36005008900,"Census Tract 89, Bronx County, New York",32610,16715,35694,37750,-,-,35000,23375,29464,36985,55598,-
36005009000,"Census Tract 90, Bronx County, New York",42708,-,-,43618,53105,-,32368,17472,29583,43277,-,-
36005009200,"Census Tract 92, Bronx County, New York",36142,24088,35121,40905,38603,56027,30230,14018,26864,33616,24063,56161
36005009300,"Census Tract 93, Bronx County, New York",27366,27072,24890,27037,37039,49879,20980,20139,22000,-,-,52875
36005009600,"Census Tract 96, Bronx County, New York",41429,25592,65391,42639,-,37404,27393,-,-,22283,30313,60521
36005009800,"Census Tract 98, Bronx County, New York",37500,41714,21250,34167,40647,-,36538,-,-,34706,37417,74688
36005011000,"Census Tract 110, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005011502,"Census Tract 115.02, Bronx County, New York",26250,27164,-,27734,-,-,17438,11375,11616,22083,25341,-
36005011700,"Census Tract 117, Bronx County, New York",35057,36212,21927,41346,19471,-,34931,11964,21850,39155,26985,-
36005011800,"Census Tract 118, Bronx County, New York",61682,57768,62813,56667,67096,61761,54083,-,47882,61071,42313,77989
36005011900,"Census Tract 119, Bronx County, New York",26060,19980,29347,37500,-,-,19614,13750,18548,26314,-,-
36005012101,"Census Tract 121.01, Bronx County, New York",16638,14250,15781,40455,-,-,20625,14083,21477,26010,28250,56917
36005012102,"Census Tract 121.02, Bronx County, New York",20164,-,16500,-,30833,-,18021,11328,20238,16250,-,-
36005012300,"Census Tract 123, Bronx County, New York",21538,19615,21309,-,-,-,23236,23173,21516,21125,32381,-
36005012500,"Census Tract 125, Bronx County, New York",25774,18068,21858,40109,-,-,22694,15500,18203,23494,31733,-
36005012701,"Census Tract 127.01, Bronx County, New York",29583,-,42750,36250,-,-,21406,14444,14531,26579,23889,-
36005012901,"Census Tract 129.01, Bronx County, New York",19417,12287,25380,36250,-,10852,21486,29167,18375,14754,-,-
36005013000,"Census Tract 130, Bronx County, New York",53906,29868,50227,63750,46607,98558,52105,8500,-,37625,64643,85000
36005013100,"Census Tract 131, Bronx County, New York",35089,36875,21555,36776,54181,30966,22621,11220,25081,24010,-,65893
36005013200,"Census Tract 132, Bronx County, New York",71190,48650,93924,61969,90536,76033,57662,25304,40049,60092,46983,73563
36005013300,"Census Tract 133, Bronx County, New York",24366,15750,26304,32308,48686,-,30461,16796,-,33433,36806,-
36005013500,"Census Tract 135, Bronx County, New York",34205,14000,39698,21550,-,-,21938,13920,21330,51607,-,31042
36005013800,"Census Tract 138, Bronx County, New York",64650,-,80104,51036,97227,75500,41991,6767,30341,48182,60500,77083
36005014100,"Census Tract 141, Bronx County, New York",27241,16845,27727,37639,-,-,25393,10139,22072,36100,34028,54250
36005014300,"Census Tract 143, Bronx County, New York",20192,15625,27778,28750,-,-,12383,11625,12778,18633,-,-
36005014400,"Census Tract 144, Bronx County, New York",32662,-,-,33370,-,-,27031,-,25242,22384,47208,70854
36005014500,"Census Tract 145, Bronx County, New York",26157,21016,25075,40369,-,-,23586,20000,27591,25809,-,-
36005014701,"Census Tract 147.01, Bronx County, New York",26062,27358,-,24122,-,-,15739,12284,13237,26384,36250,-
36005014702,"Census Tract 147.02, Bronx County, New York",19508,18958,-,21337,-,-,14688,13396,12341,20581,-,-
36005014900,"Census Tract 149, Bronx County, New York",28735,20759,19954,37077,29965,-,22250,22908,-,21473,-,63750
36005015100,"Census Tract 151, Bronx County, New York",28750,22446,34556,31186,21750,-,25461,18581,18713,28056,48098,73676
36005015200,"Census Tract 152, Bronx County, New York",48690,23056,85089,55625,47426,44375,40388,24375,42292,35938,51250,68750
36005015300,"Census Tract 153, Bronx County, New York",30032,-,-,-,31518,-,20857,8409,21130,-,34286,77917
36005015500,"Census Tract 155, Bronx County, New York",26591,17019,43359,27443,-,-,16096,13500,15580,19500,27813,-
36005015700,"Census Tract 157, Bronx County, New York",30854,31250,-,38333,-,-,19519,17239,20571,16867,58080,88295
36005015800,"Census Tract 158, Bronx County, New York",53289,70586,40066,62891,-,-,33466,-,28833,65096,-,56406
36005015900,"Census Tract 159, Bronx County, New York",30658,11797,25809,50298,-,-,21154,14500,20114,26667,36458,-
36005016000,"Census Tract 160, Bronx County, New York",60000,-,57941,59950,60379,69511,37270,35740,26688,35725,55905,74609
36005016100,"Census Tract 161, Bronx County, New York",22770,-,17500,32083,24539,-,27012,25655,17813,29697,29712,48625
36005016200,"Census Tract 162, Bronx County, New York",50071,21429,48977,42383,82054,73750,31150,-,21853,-,30850,-
36005016300,"Census Tract 163, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005016400,"Census Tract 164, Bronx County, New York",44063,16364,-,-,44063,136250,43542,-,28365,51250,-,63333
36005016500,"Census Tract 165, Bronx County, New York",25776,-,46875,21833,35625,-,17708,13375,20208,12188,-,-
36005016600,"Census Tract 166, Bronx County, New York",52024,50625,57188,52794,48500,-,42833,-,35781,37000,50469,88333
36005016700,"Census Tract 167, Bronx County, New York",24625,17200,25625,33393,31771,-,22526,15588,18393,22422,34659,-
36005016900,"Census Tract 169, Bronx County, New York",53125,-,64464,56364,-,-,22813,16193,32586,12031,30938,-
36005017100,"Census Tract 171, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005017300,"Census Tract 173, Bronx County, New York",29982,27987,26653,39250,-,-,21122,25614,17112,21358,22390,-
36005017500,"Census Tract 175, Bronx County, New York",28333,-,23503,-,36292,-,22782,7111,22708,30347,34041,90507
36005017701,"Census Tract 177.01, Bronx County, New York",26964,14566,-,38182,63133,-,30824,6574,-,31344,50375,-
36005017702,"Census Tract 177.02, Bronx County, New York",27164,25046,18547,47727,31688,55865,22416,8886,22769,41429,50815,80852
36005017901,"Census Tract 179.01, Bronx County, New York",18352,17250,18608,14301,23000,-,24167,14744,11692,32064,-,62891
36005017902,"Census Tract 179.02, Bronx County, New York",26582,26013,31550,41212,19306,-,16306,13365,12778,16250,36597,-
36005018101,"Census Tract 181.01, Bronx County, New York",27212,20125,42292,21071,41635,-,19597,15541,21250,40337,40469,-
36005018102,"Census Tract 181.02, Bronx County, New York",21960,17986,21114,22348,24167,63690,18485,13227,27017,-,21750,63875
36005018301,"Census Tract 183.01, Bronx County, New York",46216,-,33864,27826,54639,61774,33132,10063,14122,34250,46548,63864
36005018302,"Census Tract 183.02, Bronx County, New York",35882,14650,40257,43063,36471,-,15510,11473,13201,22206,53250,-
36005018400,"Census Tract 184, Bronx County, New York",62839,-,56492,52679,79348,61719,42188,-,30777,-,47375,55785
36005018500,"Census Tract 185, Bronx County, New York",25430,18140,30917,22188,26490,-,26995,20714,20152,34441,43704,-
36005018900,"Census Tract 189, Bronx County, New York",26848,21688,25771,42523,-,-,21506,12406,20357,26076,62621,-
