GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
1400000US36119002000,36119002000,"Census Tract 20, Westchester County, New York",57730,9697,50481,29952,52237,18497,36033,15057,57917,18724,84193,9668,61883,9269,-,**,57159,11478,40530,20722,61893,19208,100833,42973,49784,11127,-,**,-,**,-,**,47589,18360,82772,8532
1400000US36119002101,36119002101,"Census Tract 21.01, Westchester County, New York",55609,6529,-,**,28864,15131,61628,10180,51276,9049,92857,17186,60703,7723,50511,14936,29697,29178,82583,14093,56250,13534,100000,41366,50688,10464,-,**,25000,14126,58333,16978,50063,18328,90625,22402
1400000US36119002103,36119002103,"Census Tract 21.03, Westchester County, New York",67578,11083,67639,59513,20481,5195,47411,17956,101691,28451,92448,20463,91094,28265,-,**,-,**,51429,31826,126284,32387,95556,28174,45139,12925,-,**,18750,7527,46339,17125,68750,24766,-,**
1400000US36119002104,36119002104,"Census Tract 21.04, Westchester County, New York",58806,8987,-,**,44653,21404,53673,3662,60929,23640,84471,28923,78316,18264,-,**,65536,47518,67083,44877,97813,51327,100902,18690,53974,5339,-,**,-,**,53210,1157,55486,22307,79750,22958
1400000US36119002105,36119002105,"Census Tract 21.05, Westchester County, New York",62102,20613,-,**,52500,20187,46250,38174,77434,25725,61473,30079,73523,21685,-,**,52917,23039,61667,55176,95833,24522,91250,67939,58000,25334,-,**,-,**,-,**,59750,36481,60625,31548
1400000US36119002106,36119002106,"Census Tract 21.06, Westchester County, New York",50455,8726,35714,13010,35625,10307,47083,9310,62500,8720,78929,34350,57222,14686,36518,19023,35521,17018,62863,21199,67768,10762,-,**,43714,5974,-,**,40054,20959,40729,9478,55804,20459,78393,24077
1400000US36119002107,36119002107,"Census Tract 21.07, Westchester County, New York",42625,8689,13011,10290,38482,12960,55952,22501,43929,33381,80455,30187,61618,20962,20417,11753,53125,9163,73603,4219,75536,42054,101250,72375,31471,11480,4157,573,31833,9400,-,**,40368,15588,74844,22511
1400000US36119002201,36119002201,"Census Tract 22.01, Westchester County, New York",67548,13543,28984,22991,48750,14468,57212,42882,97841,16596,83883,10579,79300,6944,29453,25536,67813,25431,79000,13866,101786,18897,84063,31282,56780,13327,-,**,40104,9351,-,**,90625,27683,83790,20554
1400000US36119002202,36119002202,"Census Tract 22.02, Westchester County, New York",71576,11420,-,**,45302,42007,44671,20751,70473,5663,113313,24915,83000,33735,-,**,19591,18525,42500,9968,83250,39700,126591,55713,66494,15663,-,**,-,**,60833,37340,63750,51510,104063,22345
1400000US36119002203,36119002203,"Census Tract 22.03, Westchester County, New York",65162,6222,64338,44022,-,**,-,**,55263,16372,85513,12547,65025,58337,-,**,-,**,-,**,-,**,89423,20365,65280,5410,-,**,39821,30444,59167,58921,57105,12187,82083,14378
1400000US36119002204,36119002204,"Census Tract 22.04, Westchester County, New York",60854,6767,32477,7005,44509,6275,46983,7195,66667,13798,94868,7431,74231,17703,32474,6695,47656,10565,53864,7204,82773,25407,101597,22003,57625,10868,35000,25569,29397,11324,40566,6676,63125,8033,72708,33080
1400000US36119002300,36119002300,"Census Tract 23, Westchester County, New York",47056,6180,62941,45194,34464,17100,54444,16312,50688,10306,40625,39278,51768,1458,63860,13798,48750,8123,67841,15986,50667,12789,-,**,36846,6328,-,**,19485,5342,44464,16922,52639,34572,-,**
1400000US36119002401,36119002401,"Census Tract 24.01, Westchester County, New York",46298,8721,-,**,40106,10485,44107,16242,50250,27182,88875,30567,51813,22740,-,**,41908,32276,46667,38967,51750,48549,108750,32075,41360,5096,-,**,30625,21797,40139,21688,41500,15956,71071,34129
1400000US36119002402,36119002402,"Census Tract 24.02, Westchester County, New York",61458,14779,31591,12177,37003,3651,49417,22669,73938,12678,73333,17192,71121,10712,46563,8454,40931,18200,76094,33142,96071,29920,72321,27852,51341,8684,-,**,-,**,39432,28562,69063,30759,75375,27997
1400000US36119002403,36119002403,"Census Tract 24.03, Westchester County, New York",46082,3669,35658,12736,29744,21855,45530,16098,53511,13243,75217,12869,50911,9187,46299,30928,-,**,-,**,62759,25633,85625,12420,44426,9398,27269,13245,-,**,45686,9647,52879,29696,69286,19710
1400000US36119002404,36119002404,"Census Tract 24.04, Westchester County, New York",41006,3675,-,**,40598,10356,32583,10463,61875,33174,73000,14896,41189,8160,-,**,41103,10537,32392,15357,54250,42145,91875,30782,40577,14882,-,**,33000,17190,33000,12930,73482,30307,63977,18891
1400000US36119002405,36119002405,"Census Tract 24.05, Westchester County, New York",48571,12024,-,**,41979,38954,41195,10795,48646,16766,83158,20115,53049,17847,-,**,-,**,51888,22674,-,**,-,**,37955,9955,24470,17375,31417,16112,28567,13748,39545,16953,83348,18968
1400000US36119002600,36119002600,"Census Tract 26, Westchester County, New York",43750,8359,-,**,33438,9273,47273,12331,49500,17922,83047,39992,38287,11677,-,**,34115,5951,49405,24573,-,**,-,**,48618,13014,-,**,-,**,40917,13732,51917,15286,84453,10725
1400000US36119002700,36119002700,"Census Tract 27, Westchester County, New York",31455,9237,23897,13925,22887,4714,45510,19098,50833,26770,52727,39776,36118,19424,30958,17755,-,**,49886,19954,-,**,-,**,29063,10532,19844,8394,17826,4440,35972,25838,59191,24646,41719,30849
1400000US36119002800,36119002800,"Census Tract 28, Westchester County, New York",31856,4340,30260,5497,26724,5110,33000,12118,36250,12179,82548,56260,35875,6243,31250,16116,35625,14108,30278,24951,-,**,-,**,31010,2733,29231,9129,26023,3838,34333,12390,31711,13793,82837,67467
1400000US36119002900,36119002900,"Census Tract 29, Westchester County, New York",31541,5454,25290,7695,29145,7770,39750,7926,29500,20812,-,**,31108,11470,25453,6541,38583,10095,46333,7615,-,**,-,**,32235,4925,-,**,17135,8014,34315,7722,41083,5204,-,**
1400000US36119003000,36119003000,"Census Tract 30, Westchester County, New York",35549,4778,11292,2544,31721,2202,41935,3523,46698,9936,-,**,42218,6532,-,**,31905,7348,43438,4986,51071,28292,-,**,31759,5116,11325,3676,31652,1932,39286,6708,-,**,-,**
